i,lat,long
106,41.724156962353966,-87.54748322901592
106,42.324588775634766,-87.86835479736328
106,41.697244242129166,-87.5246057069969
106,41.88908199886799,-87.71856147334627
106,41.890812800000006,-87.63132305
106,41.69915007272905,-87.7203998392011
106,41.911347945132796,-87.76459431930193
106,41.938289287502265,-87.88196204301019
106,41.87527905,-87.6863507
106,41.82608640019282,-87.6545632430371
106,41.89110065097819,-87.6140032617778
106,41.89229151450878,-87.60530413228989
106,41.78059380952377,-87.64646662556336
107,41.741846050655894,-87.71435052368712
107,41.69915007272905,-87.7203998392011
108,41.89229151450878,-87.60530413228989
109,41.89229151450878,-87.60530413228989
109,41.85002899169922,-87.6500473022461
110,41.890812800000006,-87.63132305
110,41.8824953,-87.6446183
111,39.60115046894721,-88.3327371139466
111,37.76869583129883,-113.13728332519531
111,41.92268414901991,-87.707161950791
112,41.53621647154348,-87.63053032480612
112,41.724156962353966,-87.54748322901592
112,41.8464444,-87.6475661
112,41.724156962353966,-87.54748322901592
114,-41.191543800000005,174.92954530000003
114,41.88241195678711,-87.67930603027344
114,41.89043045043945,-87.63665771484375
114,41.53621647154348,-87.63053032480612
114,41.724156962353966,-87.54748322901592
114,41.8464444,-87.6475661
114,41.697244242129166,-87.5246057069969
114,41.88908199886799,-87.71856147334627
114,41.890812800000006,-87.63132305
114,41.69915007272905,-87.7203998392011
114,41.911347945132796,-87.76459431930193
114,41.938289287502265,-87.88196204301019
114,44.028720799842525,-80.06890032899925
114,41.87527905,-87.6863507
114,41.82608640019282,-87.6545632430371
114,41.890812800000006,-87.63132305
114,41.754395099999996,-87.70044265
115,41.89110065097819,-87.6140032617778
115,41.900604777313724,-87.61997793505228
116,41.6721808,-87.81547185000001
118,41.752033308973076,-87.67500939641772
118,41.7437224,-87.62498145
118,41.73590485,-87.65561135
119,41.91886380268361,-87.63623481197669
119,41.75664065000001,-87.66196215000001
119,42.29815426504011,-87.8502197556453
121,40.0495719909668,-86.89582061767578
121,38.64239120065636,-88.92766506237254
121,41.724156962353966,-87.54748322901592
121,41.82608640019282,-87.6545632430371
123,41.89324951171875,-87.99544525146484
124,41.724156962353966,-87.54748322901592
126,40.19975662231445,-88.22982788085938
128,41.98594385,-87.66988225
128,41.89110065097819,-87.6140032617778
128,41.980289459228516,-87.65550994873047
129,41.89110065097819,-87.6140032617778
129,38.64239120065636,-88.92766506237254
129,41.86092595,-87.6565167
129,41.78754795941667,-87.65592430606544
131,41.7542610168457,-87.5530014038086
131,41.74978850608932,-87.54717822408202
132,41.89229151450878,-87.60530413228989
132,41.86844645000001,-87.71064340000001
132,41.48086929321289,-87.6378173828125
133,41.89110065097819,-87.6140032617778
